Sqd,Giocatore,Ruolo,Q,PG,G,A,AM,ES,RT,RR,RS,RP,MV,MM,MP,yyss
udinese,Gabriel Silva A.,D,4.0,11.0,,,,,,,,,5.4,5.45,,2014-15
empoli,Hysaj E.,D,9.0,36.0,,1.0,4.0,,,,,,5.81,5.78,-1.0,2014-15
genoa,Kucka J.,C,14.0,34.0,2.0,,5.0,,,,,,6.03,6.17,3.5,2014-15
atalanta,Avramov V.,P,1.0,1.0,-1.0,,,1.0,,,,,5.0,3.0,-2.0,2014-15
genoa,Lestienne M.,C,10.0,23.0,1.0,2.0,2.0,,,,,,5.72,5.97,4.0,2014-15
roma,Pjanic M.,C,19.0,34.0,5.0,5.0,9.0,,,,,,6.08,6.55,15.5,2014-15
sampdoria,Massolo S.,P,1.0,,,,,,,,,,,,,2014-15
empoli,Verdi S.,C,10.0,26.0,1.0,1.0,4.0,,,,,,5.98,6.08,2.0,2014-15
palermo,Ortiz D.,D,3.0,,,,,,,,,,,,,2014-15
milan,El Shaarawy S.,A,8.0,18.0,3.0,3.0,3.0,,,,,,6.12,6.81,10.5,2014-15
udinese,Evangelista L.,C,4.0,4.0,,,,,,,,,5.25,5.4,,2014-15
inter,Brozovic M.,C,10.0,15.0,1.0,,7.0,,,,,,5.89,5.86,-0.5,2014-15
inter,Berni T.,P,1.0,,,,,,,,,,,,,2014-15
roma,Paredes L.,C,4.0,10.0,1.0,,2.0,,,,,,5.57,5.86,2.0,2014-15
lazio,Braafheid E.,D,5.0,16.0,,1.0,1.0,,,,,,5.8,5.7,-1.5,2014-15
verona,Valoti M.,C,3.0,10.0,1.0,1.0,4.0,,,,,,6.1,6.6,2.0,2014-15
lazio,Tounkara M.,A,4.0,,,,,,,,,,,,,2014-15
lazio,Novaretti D.,D,4.0,5.0,,,1.0,1.0,,,,,5.5,5.2,-1.5,2014-15
udinese,Bochniewicz P.,D,1.0,,,,,,,,,,,6.0,,2014-15
fiorentina,Rosati A.,P,1.0,,,,,,,,,,,,,2014-15
milan,Zapata C.,D,4.0,12.0,,1.0,1.0,1.0,,,,,5.83,5.62,-2.5,2014-15
atalanta,Grassi A.,C,1.0,3.0,,,,,,,,,6.0,6.0,,2014-15
milan,Bonaventura G.,C,21.0,34.0,7.0,1.0,3.0,1.0,,,,,6.1,6.68,19.5,2014-15
sampdoria,Munoz E.,D,6.0,17.0,1.0,,3.0,,,,,,6.06,6.15,1.5,2014-15
napoli,Koulibaly K.,D,6.0,27.0,1.0,,8.0,1.0,,,,,5.81,5.74,-2.0,2014-15
fiorentina,Tomovic N.,D,7.0,24.0,1.0,1.0,4.0,,,,,,5.67,5.75,2.0,2014-15
juventus,Ogbonna A.,D,7.0,25.0,,,4.0,,,,,,5.96,5.87,-2.0,2014-15
chievo,Hetemaj P.,C,9.0,32.0,,,10.0,,,,,,6.03,5.87,-5.0,2014-15
verona,Gollini P.,P,1.0,3.0,-5.0,,,,,,,,6.5,4.83,-5.0,2014-15
empoli,Biggeri M.,P,1.0,,,,,,,,,,,6.0,,2014-15
genoa,Lamanna E.,P,1.0,8.0,-9.0,,,,,,,3.0,6.31,6.25,,2014-15
verona,Agostini A.,D,5.0,22.0,,1.0,4.0,,,,,,5.61,5.48,-3.0,2014-15
empoli,Signorelli F.,C,5.0,13.0,1.0,,,,,,,,5.72,6.06,3.0,2014-15
sampdoria,Romero S.,P,4.0,10.0,-12.0,,1.0,,,,,1.0,6.35,5.4,-9.5,2014-15
sassuolo,Sereni M.,A,2.0,,,,,,,,,,,,,2014-15
roma,Ljajic A.,A,17.0,32.0,8.0,2.0,2.0,,2.0,1.0,1.0,,6.0,6.78,22.0,2014-15
palermo,Rigoni L.,C,21.0,31.0,9.0,,11.0,,,,,,6.16,6.85,21.5,2014-15
lazio,Marchetti F.,P,18.0,30.0,-29.0,1.0,5.0,2.0,,,,,6.13,5.05,-32.5,2014-15
torino,Gonzalez A.,C,4.0,8.0,,,2.0,,,,,,5.71,5.86,-1.0,2014-15
fiorentina,Richards M.,D,4.0,10.0,,,1.0,,,,,,5.67,5.61,-0.5,2014-15
lazio,F. Anderson,C,23.0,32.0,10.0,6.0,5.0,,,,,,6.38,7.5,33.5,2014-15
genoa,Iago F.,C,25.0,32.0,13.0,2.0,6.0,,2.0,2.0,,,6.24,7.37,38.0,2014-15
cagliari,Barella N.,C,1.0,3.0,,,1.0,,,,,,6.33,6.17,-0.5,2014-15
lazio,Cataldi D.,C,6.0,16.0,,2.0,3.0,1.0,,,,,6.0,5.82,-2.5,2014-15
lazio,Gentiletti S.,D,6.0,5.0,1.0,,1.0,,,,,,6.2,6.7,2.5,2014-15
atalanta,Cigarini L.,C,11.0,33.0,,2.0,10.0,1.0,,,,,5.98,5.86,-4.0,2014-15
cagliari,Longo S.,A,7.0,27.0,,,4.0,,,,,,5.53,5.42,-2.0,2014-15
napoli,Colombo R.,P,1.0,,,,,,,,,,,,,2014-15
inter,Bonazzoli F.,A,3.0,4.0,,,1.0,,,,,,5.83,5.83,-0.5,2014-15
udinese,Fernandes B.,C,12.0,31.0,3.0,2.0,5.0,,,,,,5.75,6.02,6.5,2014-15
chievo,Sardo G.,D,4.0,9.0,,,1.0,,,,,,5.75,5.72,-0.5,2014-15
fiorentina,Rossi G.,A,4.0,,,,,,,,,,,,,2014-15
sassuolo,Pomini A.,P,5.0,4.0,-4.0,,,,,,,,6.62,5.62,-4.0,2014-15
lazio,Cana L.,D,4.0,17.0,,,6.0,1.0,,,,,5.59,5.35,-4.0,2014-15
fiorentina,Bagadur R.,D,1.0,1.0,,,,,,,,,,,,2014-15
palermo,Maresca E.,C,6.0,19.0,,,2.0,,,,,,5.94,5.88,-1.0,2014-15
sassuolo,Cannavaro P.,D,7.0,25.0,,,8.0,1.0,,,,,5.83,5.61,-5.0,2014-15
atalanta,Zappacosta D.,D,11.0,29.0,3.0,1.0,4.0,,,,,,5.95,6.23,8.0,2014-15
udinese,Perica S.,A,7.0,9.0,1.0,,2.0,,,,,,5.25,5.71,2.0,2014-15
genoa,De Maio S.,D,10.0,33.0,1.0,1.0,9.0,,,,,,5.94,5.92,-0.5,2014-15
cesena,Giorgi L.,C,6.0,27.0,,,8.0,,,,,,5.78,5.63,-4.0,2014-15
roma,Ucan S.,C,4.0,4.0,,,1.0,,,,,,5.75,5.5,-0.5,2014-15
inter,Dodo R.,D,4.0,20.0,,2.0,3.0,,,,,,5.61,5.63,0.5,2014-15
roma,Astori D.,D,7.0,24.0,1.0,,10.0,,,,,,5.83,5.75,-2.0,2014-15
verona,Brivio D.,D,4.0,13.0,,,1.0,,,,,,5.65,5.62,-0.5,2014-15
inter,Vidic N.,D,8.0,23.0,1.0,,6.0,1.0,,,,,5.67,5.63,-1.0,2014-15
empoli,Tavano F.,A,10.0,26.0,2.0,1.0,1.0,,1.0,1.0,,,5.61,5.91,6.5,2014-15
roma,Verde D.,A,3.0,7.0,,2.0,,,,,,,6.1,6.5,2.0,2014-15
napoli,Higuain G.,A,30.0,37.0,18.0,5.0,5.0,,7.0,3.0,4.0,,6.03,7.23,44.5,2014-15
empoli,Mchedlidze L.,A,13.0,25.0,4.0,,3.0,,,,,,5.86,6.47,10.5,2014-15
roma,Keita S.,C,11.0,26.0,2.0,,2.0,1.0,,,,,6.21,6.4,4.0,2014-15
verona,Fernandinho,A,6.0,6.0,,,1.0,,,,,,6.0,5.83,-0.5,2014-15
cagliari,Cragno A.,P,4.0,14.0,-26.0,,,,,,,,5.68,3.82,-26.0,2014-15
sampdoria,Silvestre M.,D,9.0,29.0,,1.0,7.0,,,,,,6.07,5.98,-2.5,2014-15
cagliari,Pisano F.,D,4.0,13.0,,,1.0,,,,,,5.42,5.38,-0.5,2014-15
genoa,Marchese G.,D,4.0,11.0,1.0,2.0,2.0,,,,,,6.0,6.33,4.0,2014-15
napoli,Britos M.,D,2.0,19.0,1.0,,7.0,1.0,,,,,5.47,5.15,-5.5,2014-15
verona,Christodoulopoulos L.,C,9.0,22.0,1.0,4.0,3.0,,,,,,6.0,6.28,5.5,2014-15
udinese,Thereau C.,A,20.0,37.0,10.0,,3.0,,,,,,5.96,6.72,26.5,2014-15
juventus,Pirlo A.,C,14.0,20.0,4.0,4.0,,,,,,,6.08,6.88,16.0,2014-15
milan,Alex C.,D,9.0,21.0,1.0,,3.0,,,,,,5.78,5.75,-0.5,2014-15
parma,Lodi F.,C,7.0,23.0,2.0,1.0,3.0,,,,,,5.55,5.78,5.5,2014-15
milan,Suso,C,4.0,5.0,,1.0,,1.0,,,,,5.7,5.7,,2014-15
sampdoria,Rizzo L.,C,4.0,15.0,1.0,,2.0,,,,,,5.96,6.12,2.0,2014-15
cagliari,Capuano M.,D,4.0,15.0,,,2.0,,,,,,5.88,5.81,-1.0,2014-15
atalanta,Boakye R.,A,5.0,19.0,3.0,,2.0,1.0,,,,,5.47,5.86,7.0,2014-15
juventus,Chiellini G.,D,11.0,28.0,,1.0,7.0,,,,,,6.04,5.95,-2.5,2014-15
cesena,Cazzola R.,C,4.0,5.0,,,,,,,,,,,,2014-15
inter,Ranocchia A.,D,11.0,33.0,2.0,,9.0,,,,,,5.85,5.89,1.5,2014-15
verona,Campanharo G.,C,4.0,15.0,,,4.0,,,,,,5.88,5.73,-2.0,2014-15
lazio,Perea B.,A,5.0,5.0,,,1.0,,,,,,5.75,5.5,-0.5,2014-15
sassuolo,Polito C.,P,1.0,,,,,,,,,,,,,2014-15
milan,Destro M.,A,19.0,31.0,8.0,,5.0,,,,,,5.77,6.6,21.5,2014-15
cesena,De Feudis G.,C,5.0,25.0,,,6.0,,,,,,5.71,5.58,-3.0,2014-15
parma,Varela S.,C,15.0,19.0,3.0,1.0,3.0,,,,,,6.13,6.39,8.5,2014-15
sassuolo,Taider S.,C,11.0,27.0,3.0,3.0,6.0,,,,,,5.93,6.38,9.0,2014-15
inter,Donkor I.,D,1.0,2.0,,,,1.0,,,,,5.5,5.0,-1.0,2014-15
juventus,Vitale M.,C,1.0,1.0,,,,,,,,,6.0,6.0,,2014-15
napoli,David Lopez S.,C,10.0,32.0,1.0,1.0,4.0,,,,,,5.81,5.88,2.0,2014-15
torino,Moretti E.,D,13.0,35.0,2.0,1.0,11.0,,,,,,6.06,6.1,1.5,2014-15
juventus,Sturaro S.,C,9.0,25.0,1.0,,6.0,1.0,,,,,6.0,5.95,-1.0,2014-15
lazio,Konko A.,D,4.0,2.0,,,,,,,,,5.0,5.0,,2014-15
atalanta,Benalouane Y.,D,6.0,27.0,1.0,,12.0,1.0,,,,,5.72,5.57,-4.0,2014-15
atalanta,Masiello A.,D,4.0,14.0,,,3.0,,,,,,5.65,5.54,-1.5,2014-15
verona,Cappelluzzo P.,A,1.0,,,,,,,,,,,,,2014-15
roma,Totti F.,A,22.0,27.0,8.0,5.0,5.0,,4.0,4.0,,,5.94,7.0,26.5,2014-15
cagliari,Joao Pedro G.,C,11.0,29.0,5.0,2.0,5.0,,1.0,,1.0,,5.7,6.13,11.5,2014-15
sassuolo,Biondini D.,C,9.0,28.0,,,3.0,,,,,,5.9,5.83,-1.5,2014-15
inter,Dambrosio D.,D,5.0,23.0,,2.0,8.0,,,,,,5.64,5.55,-2.0,2014-15
chievo,Paloschi A.,A,22.0,37.0,9.0,3.0,2.0,,1.0,,1.0,,5.93,6.68,26.0,2014-15
sampdoria,Coda A.,D,3.0,2.0,,,1.0,,,,,,6.0,6.0,-0.5,2014-15
juventus,Storari M.,P,1.0,5.0,-4.0,,,,,,,,6.3,5.5,-4.0,2014-15
sassuolo,Floccari S.,A,10.0,27.0,2.0,,1.0,,,,,,5.7,6.0,5.5,2014-15
cesena,Tabanelli A.,C,4.0,7.0,,,,,,,,,5.17,5.17,,2014-15
cagliari,Farias D.,A,13.0,29.0,6.0,1.0,7.0,,,,,,5.72,6.26,15.5,2014-15
sassuolo,Antei L.,D,4.0,8.0,,,2.0,,,,,,5.93,5.79,-1.0,2014-15
roma,De Sanctis M.,P,21.0,35.0,-26.0,,1.0,,,,,,6.14,5.39,-26.5,2014-15
juventus,Evra P.,D,9.0,21.0,1.0,1.0,4.0,,,,,,5.98,6.07,2.0,2014-15
verona,Marquez R.,D,5.0,26.0,,1.0,4.0,3.0,,,,,5.56,5.4,-4.0,2014-15
parma,Palladino R.,A,12.0,22.0,4.0,1.0,1.0,,,,,,5.62,6.2,12.5,2014-15
roma,Manolas K.,D,10.0,30.0,,,5.0,2.0,,,,,6.07,5.92,-4.5,2014-15
verona,Jankovic B.,C,7.0,18.0,1.0,2.0,4.0,,,,,,5.79,5.97,3.0,2014-15
lazio,Ciani M.,D,4.0,12.0,,,1.0,,,,,,5.82,5.77,-0.5,2014-15
juventus,Marrone L.,C,4.0,,,,,,,,,,,,,2014-15
torino,Barreto P.,A,3.0,1.0,,,,,,,,,,6.0,,2014-15
roma,Skorupski L.,P,1.0,3.0,-5.0,,,,,,,,5.83,4.17,-5.0,2014-15
chievo,Cofie I.,C,4.0,18.0,,,1.0,1.0,,,,,5.75,5.67,-1.5,2014-15
milan,Bonera D.,D,4.0,16.0,,,2.0,2.0,,,,,5.71,5.5,-3.0,2014-15
chievo,Puggioni C.,P,3.0,,,,,,,,,,,6.0,,2014-15
napoli,Hamsik M.,C,23.0,35.0,8.0,7.0,1.0,,,,,,5.83,6.7,30.5,2014-15
inter,Shaqiri X.,C,16.0,15.0,1.0,1.0,3.0,,1.0,1.0,,,5.93,6.1,2.5,2014-15
verona,Moras E.,D,8.0,35.0,2.0,,4.0,,,,,,5.79,5.79,,2014-15
cesena,Capelli D.,D,4.0,30.0,,,11.0,,,,,,5.57,5.38,-5.5,2014-15
roma,Spolli N.,D,4.0,1.0,,,,,,,,,5.5,5.5,,2014-15
cesena,Leali N.,P,7.0,28.0,-49.0,,1.0,1.0,,,,2.0,5.84,4.25,-44.5,2014-15
palermo,Dybala P.,A,28.0,34.0,13.0,7.0,3.0,,3.0,3.0,,,6.47,7.78,44.5,2014-15
lazio,Radu S.,D,7.0,24.0,,,6.0,,,,,,5.85,5.73,-3.0,2014-15
juventus,Morata A.,A,22.0,29.0,8.0,1.0,6.0,1.0,,,,,6.27,7.02,21.0,2014-15
chievo,Vajushi A.,C,4.0,,,,,,,,,,,6.0,,2014-15
sassuolo,Chibsah Y.,C,4.0,8.0,,,,,,,,,5.88,5.88,,2014-15
milan,Montolivo R.,C,3.0,10.0,,,1.0,,,,,,5.33,5.28,-0.5,2014-15
milan,Bocchetti S.,D,4.0,9.0,,,1.0,,,,,,5.5,5.44,-0.5,2014-15
atalanta,Rosseti V.,A,4.0,1.0,,,,,,,,,6.0,6.0,,2014-15
atalanta,Pinilla M.,A,19.0,26.0,9.0,2.0,8.0,1.0,2.0,1.0,1.0,,6.02,6.9,21.0,2014-15
napoli,Albiol R.,D,6.0,35.0,,1.0,10.0,,,,,,5.6,5.37,-8.0,2014-15
torino,Ichazo S.,P,1.0,1.0,,,,,,,,,,6.0,,2014-15
empoli,Zielinski P.,C,9.0,28.0,,,3.0,,,,,,6.0,5.92,-1.5,2014-15
torino,Castellazzi L.,P,1.0,,,,,,,,,,,6.0,,2014-15
atalanta,Emanuelson U.,D,6.0,11.0,,2.0,1.0,,,,,,6.0,6.15,1.5,2014-15
genoa,Mandragora R.,C,1.0,5.0,,,,,,,,,6.25,6.17,,2014-15
sampdoria,De Vitis A.,C,1.0,,,,,,,,,,,,,2014-15
napoli,Rafael C.,P,3.0,23.0,-30.0,,,,,,,,5.87,4.57,-30.0,2014-15
palermo,Rispoli A.,D,7.0,29.0,,2.0,5.0,,,,,,5.71,5.71,-0.5,2014-15
sampdoria,Duncan A.,C,10.0,26.0,1.0,2.0,3.0,,,,,,5.91,6.07,3.5,2014-15
udinese,Guilherme d.,C,7.0,34.0,,2.0,4.0,1.0,,,,,5.62,5.62,-1.0,2014-15
chievo,Cesar B.,D,6.0,28.0,,,8.0,,,,,,5.89,5.62,-8.0,2014-15
sassuolo,Consigli A.,P,16.0,35.0,-53.0,,2.0,1.0,,,,1.0,6.21,4.71,-52.0,2014-15
genoa,Niang,A,14.0,19.0,5.0,1.0,3.0,,,,,,6.28,7.12,14.5,2014-15
udinese,Di Natale A.,A,33.0,33.0,14.0,4.0,4.0,,1.0,1.0,,,6.32,7.76,44.0,2014-15
chievo,Birsa V.,C,10.0,35.0,,1.0,4.0,,,,,,5.91,5.89,-1.0,2014-15
verona,Fares M.,A,1.0,1.0,,,,,,,,,,,,2014-15
cagliari,Colombi S.,P,1.0,3.0,-8.0,,1.0,,,,,,5.5,2.67,-8.5,2014-15
milan,Mastour H.,C,2.0,,,,,,,,,,,,,2014-15
fiorentina,Pasqual M.,D,12.0,20.0,2.0,1.0,2.0,,,,,,6.11,6.44,6.0,2014-15
milan,Rami A.,D,5.0,21.0,1.0,1.0,5.0,,,,,,5.65,5.72,1.5,2014-15
udinese,Widmer S.,C,13.0,36.0,2.0,5.0,5.0,,,,,,5.87,6.14,8.5,2014-15
milan,Poli A.,C,11.0,33.0,1.0,,5.0,,,,,,6.03,6.05,0.5,2014-15
roma,Doumbia S.,A,18.0,13.0,2.0,,,,,,,,5.06,5.72,6.0,2014-15
napoli,Uvini B.,D,2.0,,,,,,,,,,,,,2014-15
napoli,Mertens D.,C,23.0,31.0,6.0,5.0,4.0,1.0,1.0,1.0,,,5.95,6.62,20.0,2014-15
parma,Bajza P.,P,1.0,,,,,,,,,,,6.0,,2014-15
sampdoria,Okaka S.,A,14.0,32.0,4.0,2.0,6.0,,,,,,6.0,6.35,11.0,2014-15
verona,Gomez J.,A,18.0,26.0,6.0,3.0,7.0,,,,,,6.12,6.82,17.5,2014-15
genoa,Tambe A.,D,4.0,6.0,,,,,,,,,5.67,5.67,,2014-15
parma,Lila A.,C,8.0,13.0,2.0,,5.0,,,,,,5.91,6.27,3.5,2014-15
parma,Santacroce F.,D,4.0,15.0,,1.0,6.0,,,,,,5.53,5.57,-2.0,2014-15
cesena,Krajnc L.,D,5.0,22.0,,,3.0,,,,,,5.48,5.4,-1.5,2014-15
torino,Peres B.,D,12.0,34.0,3.0,2.0,8.0,,,,,,6.02,6.26,7.0,2014-15
chievo,Christiansen A.,C,4.0,4.0,,,,,,,,,5.5,5.62,,2014-15
milan,Albertazzi M.,D,3.0,,,,,,,,,,,,,2014-15
cagliari,Rossettini L.,D,10.0,32.0,3.0,2.0,12.0,,,,,,5.77,5.86,3.0,2014-15
roma,Strootman K.,C,4.0,6.0,,2.0,1.0,,,,,,5.7,6.0,1.5,2014-15
inter,Jonathan C.,D,3.0,2.0,,,,,,,,,6.25,6.25,,2014-15
napoli,Jorginho F.,C,7.0,23.0,,,5.0,,,,,,5.55,5.42,-2.5,2014-15
atalanta,Cherubin N.,D,4.0,13.0,,,,,,,,,5.58,5.58,,2014-15
juventus,Barzagli A.,D,7.0,10.0,,,2.0,,,,,,6.28,6.17,-1.0,2014-15
atalanta,Gomez A.,C,17.0,24.0,3.0,2.0,,1.0,,,,,6.09,6.55,10.0,2014-15
cesena,Mudingayi G.,C,6.0,9.0,,,5.0,,,,,,6.0,5.72,-2.5,2014-15
juventus,Romulo O.,C,4.0,4.0,,,,,,,,,6.17,6.17,,2014-15
palermo,Joao Silva,A,4.0,1.0,,,1.0,,,,,,5.5,5.0,-0.5,2014-15
